"Animal","Year","Population_size_1000s","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Ch4_emission_in_kt","Weight_kg","Milk_yield_kg_per_day","Work_h_per_day","Pregnant_in_percent","Digestibility_of_feed_in_percent"
"Dairy cattle",2009,5860.775,187.30115248827,6.5,79.9771803291215,468.728259043407,451.405119868108,13.2707475370243,NA,NA,76.0338242333333
"Non-dairy cattle",2009,4100.719,159.370064805563,6.5,67.7490793235469,277.819936814576,543.552691849692,NA,NA,NA,70.3552805583333
"Cattle",2010,9863.971,178.625169736883,6.5,76.1547497518904,751.188243064904,482.990959324596,12.800984730914,NA,NA,73.8019655617459
"Dairy cattle",2010,5915.451,193.607191954111,6.5,82.6627197363053,488.987268126847,460.452023777869,12.800984730914,NA,NA,76.1037445666667
"Non-dairy cattle",2010,3948.52,156.179945119325,6.5,66.4048744689294,262.200974938057,516.757527258612,NA,NA,NA,70.353569475
"Cattle",2011,10020.917,180.505767420631,6.5,76.9544594533743,771.154250962129,478.808838767675,13.2421178025482,NA,NA,73.9533881098247
"Dairy cattle",2011,6174.503,194.661173540216,6.5,83.1139000399758,513.187025138531,457.965915854254,13.2421178025482,NA,NA,76.1969653333333
"Non-dairy cattle",2011,3846.414,157.782629050295,6.5,67.0669423061579,257.967225823598,512.267195059453,NA,NA,NA,70.3518584
"Cattle",2012,10179.691,183.204396720506,6.5,78.1101623408342,795.137316589529,498.312641590305,14.2491675657209,NA,NA,74.0718996335379
"Dairy cattle",2012,6445.279,196.178731533617,6.5,83.7582695553943,539.845415841722,464.712289122824,14.2491675657209,NA,NA,76.2282929333333
"Non-dairy cattle",2012,3734.412,160.811793089758,6.5,68.3620073917412,255.291900747807,556.304005733107,NA,NA,NA,70.3501473333333
"Cattle",2013,10182.123,184.740039001914,6.5,78.7799049843468,802.146682478932,478.793393839839,13.4466539676227,NA,NA,74.1711213458787
"Dairy cattle",2013,6483.601,200.918679301159,6.5,85.7877575286462,556.213590500488,463.569314068612,13.4466539676227,NA,NA,76.353264175
"Non-dairy cattle",2013,3698.522,156.378480405582,6.5,66.4949652803049,245.933091978444,505.481584103087,NA,NA,NA,70.345770725
"Cattle",2014,10367.923,184.647050594615,6.5,78.7560553074248,816.536717211122,479.757682222796,14.7742516167582,NA,NA,74.3197997625995
"Dairy cattle",2014,6698.063,201.731255338586,6.5,86.1333211998752,576.926411796,464.508891640893,14.7742516167582,NA,NA,76.4971651
"Non-dairy cattle",2014,3669.86,153.465730413459,6.5,65.2914022374483,239.610305415122,507.589087233175,NA,NA,NA,70.345770725
"Cattle",2015,10032.765,189.936805794045,6.5,80.9979458739831,812.633356436392,465.395647454891,14.6600494887557,NA,NA,74.3337249323196
"Dairy cattle",2015,6485.536,210.318538773007,6.5,89.7967552616168,582.380088932405,472.316841989466,14.6600494887557,NA,NA,76.5149150166667
"Non-dairy cattle",2015,3547.229,152.672094951455,6.5,64.9107423016633,230.253267503987,452.741359751169,NA,NA,NA,70.345770725
"Cattle",2016,10151.852,186.563705010211,6.5,79.5454062663392,807.533191695748,451.109819811813,14.7596746204368,NA,NA,74.3966166444457
"Dairy cattle",2016,6618.799,204.65215972666,6.5,87.3783272413311,578.339584966595,471.619826306576,14.7596746204368,NA,NA,76.5589203083333
"Non-dairy cattle",2016,3533.053,152.676909089296,6.5,64.8712619734697,229.193606729153,412.68650420417,NA,NA,NA,70.345770725
"Cattle",2017,10145.656,188.045336773003,6.5,80.1782366959366,813.460808203549,462.796858741403,14.2437325057942,NA,NA,74.3381307706833
"Dairy cattle",2017,6529.759,208.2913070095,6.5,88.9345076187398,580.720901534035,477.99078830546,14.2437325057942,NA,NA,76.5489264083334
"Non-dairy cattle",2017,3615.897,151.484199559887,6.5,64.3657456696123,232.739906669514,435.358937164469,NA,NA,NA,70.345770725
"Cattle",2018,10107.187,189.64088115105,6.5,80.8477227963924,817.143052827301,459.33964499192,14.7189711377641,NA,NA,74.2488018265312
"Dairy cattle",2018,6385.932,211.422566582117,6.5,90.2645510697195,576.423285141756,477.686738101002,14.7189711377641,NA,NA,76.5232034333333
"Non-dairy cattle",2018,3721.255,152.26199633714,6.5,64.6877915341854,240.719767685545,427.854759115445,NA,NA,NA,70.345770725
"Cattle",2019,10150.889,191.298818738201,6.5,81.5616415238535,827.923169766428,469.279043661674,15.0744369414874,NA,NA,74.1172102788002
"Dairy cattle",2019,6260.894,215.303096002331,6.5,91.926093542905,575.539527506213,479.653996203453,15.0744369414874,NA,NA,76.46046685
"Non-dairy cattle",2019,3889.995,152.664261239456,6.5,64.8801970851415,252.383642260215,452.580698774569,NA,NA,NA,70.345770725
"Cattle",2020,10082.789,194.147766239838,6.5,82.779942833956,834.65269702684,477.249975849705,15.5736185777111,NA,NA,74.1100163178198
"Dairy cattle",2020,6200.221,218.374790286589,6.5,93.2375126418281,578.093183869628,480.347866855903,15.5736185777111,NA,NA,76.4671806
"Non-dairy cattle",2020,3882.568,155.458707023833,6.5,66.0798505415004,256.559513157212,472.302835484787,NA,NA,NA,70.345770725
"Cattle",2021,10150.248,194.478748015683,6.5,82.9308845619962,841.769045163633,468.520839549233,16.0186880712249,NA,NA,74.0621229074494
"Dairy cattle",2021,6185.437,219.859832405505,6.5,93.8660502051237,580.60253998263,490.637243772984,16.0186880712249,NA,NA,76.4442721416667
"Non-dairy cattle",2021,3964.811,154.882132064778,6.5,65.8711109258431,261.166505181003,434.017397899039,NA,NA,NA,70.345770725
"Cattle",2022,9751.189,198.271186065801,6.5,84.5469206823032,824.433002941147,469.925920446376,15.5459549998919,NA,NA,74.0841298529946
"Dairy cattle",2022,5930.033,223.547737292053,6.5,95.4426517597077,565.978074542575,488.718674284046,15.5459549998919,NA,NA,76.4930293333333
"Non-dairy cattle",2022,3821.156,159.044631876999,6.5,67.6378897900457,258.454928398572,440.761539191525,NA,NA,NA,70.345770725
"Cattle",2023,9538.66,199.539560940101,6.5,85.079709259882,811.546419528866,476.764439357346,15.9993687513007,NA,NA,74.1395471181496
"Dairy cattle",2023,5884.628,221.559028260594,6.5,94.5964576546589,556.66496341542,488.541604367748,15.9993687513007,NA,NA,76.495274675
"Non-dairy cattle",2023,3654.032,164.078357004488,6.5,69.7534822118268,254.881456113446,457.797929217087,NA,NA,NA,70.345770725
"Cattle",2024,9516.286,201.75644780732,6.5,86.0296486598986,818.682741127112,483.365163083309,15.9175294824519,NA,NA,74.1184104909624
"Dairy cattle",2024,5836.844,225.914805907929,6.5,96.4535978582964,562.98460393761,495.759195429735,15.9175294824519,NA,NA,76.4966150833333
"Non-dairy cattle",2024,3679.442,163.433091295818,6.5,69.4937268176811,255.698137189502,463.704020622837,NA,NA,NA,70.345770725
