"Year","Animal","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Weight_kg","Digestibility_of_feed_in_percent","Population_size_1000s","Ch4_emission_in_kt","Milk_yield_kg_per_day","Pregnant_in_percent"
2015,"Cattle",173.616054682153,6.08414534421349,67.301077210887,445.803323854308,66.1728185349661,94961.506629302,6391.01168972081,31.662945297162,0.279827793315576
2015,"Dairy cattle",246.490649841053,6.09858096323359,89.2537197076342,469.675031678233,65.1849839045439,18812.1359575811,1679.05310985985,28.1031838891968,0.329666201327912
2015,"Non-dairy cattle",155.612927671518,6.08057913184375,61.8778400700665,439.905995890046,66.4168557372067,76149.3706717209,4711.95857986096,3.55976140796516,0.267515585096819
2016,"Cattle",173.542583063844,6.08278774349092,67.264332214464,445.195381682592,66.185627293802,98180.0073519939,6604.01263134303,32.1646109629918,0.276541204592287
2016,"Dairy cattle",249.260863208128,6.09106362915002,90.1258984188943,469.956652495578,65.1815322425204,18856.9768601127,1699.50198098195,28.6048495550266,0.328899931627903
2016,"Non-dairy cattle",155.54254136455,6.08082036802124,61.8295924897002,439.309036848664,66.4243246434867,79323.0304918812,4904.51065036107,3.55976140796516,0.264094285986012
2017,"Cattle",173.834815180511,6.06965213438088,67.2748099072636,445.551140062945,66.2741514131889,100308.508229505,6748.23582322111,32.3376066595207,0.278017016125828
2017,"Dairy cattle",250.995338437931,6.0894664017275,90.6529607687922,469.828420002842,65.1852518555902,18923.0662188034,1715.43197955844,28.7778452515555,0.329725686516915
2017,"Non-dairy cattle",155.894091938071,6.06504508570223,61.8391166690587,439.906388808111,66.5273332836193,81385.4420107013,5032.80384366266,3.55976140796516,0.26599414606796
2018,"Cattle",174.163891565165,6.06186090984745,67.2987478831214,445.033649251689,66.3244930381898,100727.429337528,6778.82987190122,32.6523989122291,0.279318698839441
2018,"Dairy cattle",253.298489469328,6.08711819226108,91.3957789144195,470.11163471585,65.1888161454926,19005.9191123963,1737.0607812619,29.0926375042639,0.330516959629846
2018,"Non-dairy cattle",155.759608988703,6.05598683990883,61.6945168628177,439.201278289373,66.5886166832492,81721.5102251316,5041.76909063931,3.55976140796516,0.267411552231441
2019,"Cattle",174.946330107178,6.05624763733413,67.5462486067708,446.428493207824,66.3667707567126,100581.185860223,6793.88178527844,32.9266269661653,0.280753853799685
2019,"Dairy cattle",254.511374684738,6.08682402554048,91.7374020255038,469.309935575963,65.1860714528485,18882.1466860419,1732.19908164197,29.3668655582001,0.329907637281776
2019,"Non-dairy cattle",156.557388719606,6.04918087310927,61.9552292756473,441.140172126565,66.6396520252443,81699.0391741811,5061.68270363648,3.55976140796516,0.269393512732466
2020,"Cattle",175.6762303462,6.0506571538332,67.7107865130547,447.154721182436,66.4011343531485,99851.3706829068,6761.01484334619,33.3728861154098,0.280285574034598
2020,"Dairy cattle",257.669853208438,6.08339361722834,92.7750839411238,469.985719775319,65.19149892789,18791.7124481271,1743.40269977244,29.8131247074446,0.331112537890082
2020,"Non-dairy cattle",156.668000889512,6.04306800011498,61.9002380819424,441.861908829115,66.6815589388615,81059.6582347797,5017.61214357374,3.55976140796516,0.268502577286485
2021,"Cattle",176.390845352468,6.03570790686236,67.7693767880691,447.817020381004,66.5243365440544,99961.2305633913,6774.31029824951,33.5710749849081,0.27720265590796
2021,"Dairy cattle",260.117784292023,6.08467611261459,93.5490027064611,470.615982345689,65.2020159620676,18859.4659206171,1764.28422845022,30.0113135769429,0.333447321704126
2021,"Non-dairy cattle",156.920919407905,6.0243208031212,61.7745630057097,442.515332457291,66.8318299760648,81101.7646427742,5010.02606979929,3.55976140796516,0.264123478624068
2022,"Cattle",176.621060526727,6.02904622419713,67.7371839560673,447.336519687471,66.5752063535481,98015.2850473236,6639.27939375693,33.7372042523848,0.276164528184874
2022,"Dairy cattle",261.303036841057,6.08340995565975,93.8545760487981,470.426042076467,65.2102965286737,18626.1558140982,1748.14995735105,30.1774428444196,0.335285609243807
2022,"Non-dairy cattle",156.753105043265,6.01629148884938,61.609561455662,441.919291335878,66.8954394045445,79389.1292332253,4891.12943640589,3.55976140796516,0.262293630766833
