"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Cattle",2011,10020.917,10,6.5,5.85,73.9533881098247,74.6033881098247,180.505767420631,178.467582192481,771.154250962129,771.151309237615,694.036178313853,77.1151309237615,686.199452060423,84.9518571771916,7.83672625343013
"Dairy cattle",2011,6174.503,10,6.5,5.85,76.1969653333333,76.8469653333333,194.661173540216,192.560967662633,513.187025138531,512.415662177537,461.174095959783,51.2415662177538,456.198473295496,56.2171888820415,4.97562266428764
"Non-dairy cattle",2011,3846.414,10,6.5,5.85,70.3518584,71.0018584,157.782629050295,155.844003226303,257.967225823598,258.735647060077,232.86208235407,25.8735647060077,230.000978764927,28.7346682951502,2.86110358914246
"Cattle",2012,10179.691,10,6.5,5.85,74.0718996335379,74.7218996335379,183.204396720506,181.140294417543,795.137316589529,795.081301385851,715.573171247266,79.5081301385851,707.511049064883,87.5702523209684,8.06212218238329
"Dairy cattle",2012,6445.279,10,6.5,5.85,76.2282929333333,76.8782929333333,196.178731533617,194.063538590437,539.845415841722,539.057007642249,485.151306878024,53.9057007642251,479.920420672058,59.1365869701906,5.23088620596559
"Non-dairy cattle",2012,3734.412,10,6.5,5.85,70.3501473333333,71.0001473333333,160.811793089758,158.835868907067,255.291900747807,256.024293743602,230.421864369242,25.6024293743602,227.590628392824,28.4336653507778,2.83123597641762
"Cattle",2013,10182.123,10,6.5,5.85,74.1711213458787,74.8211213458787,184.740039001914,182.666199447438,802.146682478932,801.93731551439,721.743583962951,80.193731551439,713.641494125259,88.2958213891301,8.1020898376911
"Dairy cattle",2013,6483.601,10,6.5,5.85,76.353264175,77.003264175,200.918679301159,198.758024450717,556.213590500488,555.363902059234,499.82751185331,55.5363902059235,494.452428055096,60.9114740041377,5.37508379821418
"Non-dairy cattle",2013,3698.522,10,6.5,5.85,70.345770725,70.995770725,156.378480405582,154.456830222897,245.933091978444,246.573413455156,221.91607210964,24.6573413455155,219.189066070163,27.3843473849924,2.72700603947683
"Cattle",2014,10367.923,10,6.5,5.85,74.3197997625995,74.9697997625995,184.647050594615,182.582211025728,816.536717211122,816.159782660479,734.543804394431,81.6159782660479,726.329673123394,89.8301095370853,8.21413127103733
"Dairy cattle",2014,6698.063,10,6.5,5.85,76.4971651,77.1471651,201.731255338586,199.568351442515,576.926411796,576.054364691492,518.448928222343,57.6054364691493,512.890269476658,63.1640952148341,5.55865874568485
"Non-dairy cattle",2014,3669.86,10,6.5,5.85,70.345770725,70.995770725,153.465730413459,151.579873432882,239.610305415122,240.105417968987,216.094876172088,24.0105417968987,213.439403646736,26.6660143222512,2.65547252535251
"Cattle",2015,10032.765,10,6.5,5.85,74.3337249323196,74.9837249323196,189.936805794045,187.816324114397,812.633356436392,812.401697742943,731.161527968649,81.2401697742941,722.99873604194,89.4029617010033,8.16279192670913
"Dairy cattle",2015,6485.536,10,6.5,5.85,76.5149150166667,77.1649150166667,210.318538773007,208.064396269864,582.380088932405,581.519767965439,523.367791168895,58.1519767965439,517.758463575938,63.7613043895005,5.60932759295667
"Non-dairy cattle",2015,3547.229,10,6.5,5.85,70.345770725,70.995770725,152.672094951455,150.795990525875,230.253267503987,230.881929777504,207.793736799754,23.0881929777504,205.240272466001,25.6416573115028,2.5534643337524
"Cattle",2016,10151.852,10,6.5,5.85,74.3966166444457,75.0466166444457,186.563705010211,184.482008752887,807.533191695748,807.446001177772,726.701401059995,80.7446001177773,718.592795012018,88.8532061657542,8.10860604797688
"Dairy cattle",2016,6618.799,10,6.5,5.85,76.5589203083333,77.2089203083333,204.65215972666,202.460752050629,578.339584966595,577.479507245812,519.731556521231,57.7479507245813,514.166290442646,63.3132168031667,5.56526607858541
"Non-dairy cattle",2016,3533.053,10,6.5,5.85,70.345770725,70.995770725,152.676909089296,150.800745505392,229.193606729153,229.96649393196,206.969844538764,22.996649393196,204.426504569373,25.5399893625874,2.54333996939138
"Cattle",2017,10145.656,10,6.5,5.85,74.3381307706833,74.9881307706834,188.045336773003,185.946127527856,813.460808203549,813.361765965223,732.025589368701,81.3361765965221,723.853757451688,89.5080085135355,8.17183191701338
"Dairy cattle",2017,6529.759,10,6.5,5.85,76.5489264083334,77.1989264083334,208.2913070095,206.060468596037,580.720901534035,579.841573540937,521.857416186844,57.9841573540936,516.268226762212,63.5733467787254,5.58918942463185
"Non-dairy cattle",2017,3615.897,10,6.5,5.85,70.345770725,70.995770725,151.484199559887,149.622692535371,232.739906669514,233.520192424286,210.168173181858,23.3520192424286,207.585530689476,25.93466173481,2.58264249238147
"Cattle",2018,10107.187,10,6.5,5.85,74.2488018265312,74.8988018265312,189.64088115105,187.520550200248,817.143052827301,817.152884257806,735.437595832025,81.7152884257807,727.214837704341,89.9380465534649,8.22275812768419
"Dairy cattle",2018,6385.932,10,6.5,5.85,76.5232034333333,77.1732034333333,211.422566582117,209.156981600305,576.423285141756,575.594562736958,518.035106463263,57.5594562736959,512.483889409057,63.1106733279016,5.55121705420572
"Non-dairy cattle",2018,3721.255,10,6.5,5.85,70.345770725,70.995770725,152.26199633714,150.390931390618,240.719767685545,241.558321520847,217.402489368763,24.1558321520847,214.730948295284,26.8273732255632,2.67154107347849
"Cattle",2019,10150.889,10,6.5,5.85,74.1172102788002,74.7672102788002,191.298818738201,189.155021084388,827.923169766428,827.860991925258,745.074892732732,82.786099192526,736.725181963523,91.1358099617347,8.34971076920874
"Dairy cattle",2019,6260.894,10,6.5,5.85,76.46046685,77.11046685,215.303096002331,212.992916393044,575.539527506213,574.682110953888,517.213899858499,57.4682110953889,511.66424903007,63.0178619238187,5.54965082842978
"Non-dairy cattle",2019,3889.995,10,6.5,5.85,70.345770725,70.995770725,152.664261239456,150.788253078107,252.383642260215,253.17888097137,227.860992874233,25.317888097137,225.060932933454,28.1179480379159,2.80005994077894
"Cattle",2020,10082.789,10,6.5,5.85,74.1100163178198,74.7600163178198,194.147766239838,191.971483217027,834.65269702684,834.553397468516,751.098057721664,83.4553397468515,742.678687346488,91.8747101220279,8.41937037517641
"Dairy cattle",2020,6200.221,10,6.5,5.85,76.4671806,77.1171806,218.374790286589,216.031978939725,578.093183869628,577.232430644485,519.509187580037,57.7232430644484,513.935687003961,63.2967436405244,5.57350057607596
"Non-dairy cattle",2020,3882.568,10,6.5,5.85,70.345770725,70.995770725,155.458707023833,153.548359436508,256.559513157212,257.32096682403,231.588870141627,25.732096682403,228.743000342527,28.5779664815035,2.84586979910048
"Cattle",2021,10150.248,10,6.5,5.85,74.0621229074494,74.7121229074494,194.478748015683,192.297235780978,841.769045163633,841.569245018496,757.412320516646,84.1569245018496,748.916254695662,92.6529903228335,8.49606582098386
"Dairy cattle",2021,6185.437,10,6.5,5.85,76.4442721416667,77.0942721416667,219.859832405505,217.499964442546,580.60253998263,579.772127548919,521.794914794027,57.977212754892,516.194223257129,63.5779042917906,5.60069153689858
"Non-dairy cattle",2021,3964.811,10,6.5,5.85,70.345770725,70.995770725,154.882132064778,152.978869693862,261.166505181003,261.797117469576,235.617405722619,26.1797117469576,232.722031438533,29.0750860310429,2.89537428408528
"Cattle",2022,9751.189,10,6.5,5.85,74.0841298529946,74.7341298529946,198.271186065801,196.047608543232,824.433002941147,824.248624593046,741.823762133741,82.4248624593047,733.504335211865,90.7442893811813,8.31942692187658
"Dairy cattle",2022,5930.033,10,6.5,5.85,76.4930293333333,77.1430293333333,223.547737292053,221.150717334235,565.978074542575,565.156127941207,508.640515147087,56.5156127941207,503.186550455108,61.9695774860996,5.45396469197885
"Non-dairy cattle",2022,3821.156,10,6.5,5.85,70.345770725,70.995770725,159.044631876999,157.090218807446,258.454928398572,259.092496651838,233.183246986655,25.9092496651839,230.317784756757,28.7747118950816,2.86546222989767
"Cattle",2023,9538.66,10,6.5,5.85,74.1395471181496,74.7895471181496,199.539560940101,197.301621066159,811.546419528866,811.441907866444,730.297717079799,81.1441907866445,722.107048656947,89.3348592094965,8.19066842285201
"Dairy cattle",2023,5884.628,10,6.5,5.85,76.495274675,77.145274675,221.559028260594,219.183443389092,556.66496341542,555.8396432282,500.25567890538,55.5839643228201,494.891872104003,60.9477711241972,5.36380680137705
"Non-dairy cattle",2023,3654.032,10,6.5,5.85,70.345770725,70.995770725,164.078357004488,162.06208722175,254.881456113446,255.602264638244,230.042038174419,25.5602264638243,227.215176552944,28.3870880852993,2.82686162147493
"Cattle",2024,9516.286,10,6.5,5.85,74.1184104909624,74.7684104909624,201.75644780732,199.494252662881,818.682741127112,818.532562729076,736.679306456168,81.8532562729077,728.419286178328,90.1132765507474,8.26002027783966
"Dairy cattle",2024,5836.844,10,6.5,5.85,76.4966150833333,77.1466150833333,225.914805907929,223.492585315376,562.98460393761,562.165038601412,505.94853474127,56.2165038601412,500.523839557184,61.6411990442275,5.42469518408626
"Non-dairy cattle",2024,3679.442,10,6.5,5.85,70.345770725,70.995770725,163.433091295818,161.42475083279,255.698137189502,256.367524127664,230.730771714898,25.6367524127664,227.895446621144,28.47207750652,2.83532509375351
"Cattle",1990,8033.974999463,20,6.5,5.2,72.6468832562783,73.9468832562783,149.836589062939,146.400735131376,512.897391839479,513.203259927719,410.562607942175,102.640651985544,401.148130747568,112.055129180151,9.41447719460734
"Dairy cattle",1990,3440.814999753,20,6.5,5.2,75.809914175,77.109914175,169.272003176121,165.634283322324,248.587068848727,248.30616870653,198.644934965224,49.661233741306,194.375979613953,53.9301890925773,4.2689553512713
"Non-dairy cattle",1990,4593.15999971,20,6.5,5.2,70.2774025,71.5774025,135.277186731805,131.992554027721,264.310322990752,264.897091221189,211.917672976951,52.9794182442377,206.772151133615,58.1249400875737,5.14552184333604
"Cattle",1991,8100.064556988,20,6.5,5.2,72.6047653930015,73.9047653930015,154.389138682835,150.849369844948,532.839503324315,533.146149473079,426.516919578463,106.629229894616,416.737920138242,116.408229334836,9.77899944022067
"Dairy cattle",1991,3429.495556698,20,6.5,5.2,75.8069211833333,77.1069211833333,177.829607961111,174.007743658223,260.330988023434,260.001209336939,208.000967469551,52.0002418673879,203.530668728793,56.470540608146,4.47029874075815
"Non-dairy cattle",1991,4670.56900029,20,6.5,5.2,70.2534931916667,71.5534931916667,137.177320330131,133.844687955429,272.508515300881,273.144940136139,218.515952108912,54.6289880272278,213.207251409449,59.9376887266903,5.30870069946252
"Cattle",1992,8144.3208997,20,6.5,5.2,72.5974070230245,73.8974070230245,156.491000111115,152.900996541407,543.060366433186,543.357036727804,434.685629382244,108.671407345561,424.713663198405,118.643373529399,9.97196618383816
"Dairy cattle",1992,3467.8239,20,6.5,5.2,75.790509675,77.090509675,178.903519300945,175.057259921693,264.83368553553,264.494698618421,211.595758894737,52.8989397236843,207.046646750723,57.4480518676988,4.54911214401449
"Non-dairy cattle",1992,4676.4969997,20,6.5,5.2,70.2295839083333,71.5295839083333,139.871152025959,136.471173173664,278.226680897656,278.862338109383,223.089870487506,55.7724676218766,217.667016447683,61.1953216617003,5.42285403982368
