"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Non-dairy cattle",2002,9561.0979996,10,6.52056081,5.868504729,74.14664649,74.798702571,106.9616567,105.752216315542,438.11514942,437.369541966975,393.632587770277,43.7369541966974,389.181692346851,48.1878496201241,4.45089542342674
"Cattle",2003,13644.5980002,10,6.57567943503134,5.91811149152821,74.6870050359361,75.3445729794392,169.291072539024,167.388100140453,1002.54660737,1002.53440352082,902.280963168739,100.253440352082,892.139206794851,110.39519672597,10.1417563738878
"Dairy cattle",2003,4371.958,10,6.68812083,6.019308747,75.79320782,76.462019903,302.0002683,298.620329929442,578.47313032,579.182080161091,521.263872144982,57.918208016109,515.429970829046,63.7521093320451,5.83390131593603
"Non-dairy cattle",2003,9272.6400002,10,6.52266443,5.870397987,74.16544137,74.817707813,106.72,105.513402441477,424.07347705,423.35232335973,381.017091023757,42.335232335973,376.709235965805,46.6430873939248,4.30785505795177
"Cattle",2004,13197.0310004,10,6.57379359592646,5.91641423633382,74.707443916358,75.3648232759506,170.28397586801,168.372810800349,974.47364555,974.502693321225,877.052423989103,97.4502693321226,867.209640212077,107.293053109148,9.84278377702572
"Dairy cattle",2004,4285.122,10,6.67426205,6.006835845,75.8318662,76.499292405,303.4826172,300.095798102919,568.56254622,569.282668058836,512.354401252952,56.9282668058836,506.636605332228,62.6460627266076,5.71779592072403
"Non-dairy cattle",2004,8911.9090004,10,6.52548525,5.872936725,74.16678684,74.819335365,106.2379417,105.036316815655,405.91109933,405.22002526239,364.698022736151,40.522002526239,360.573034879849,44.6469903825408,4.12498785630174
"Cattle",2005,13036.8089999,10,6.56571046885744,5.90913942197169,74.7639560744699,75.4205271213557,171.418616111016,169.500030818465,967.40312221,967.427925186748,870.685132668073,96.7427925186749,860.940796071504,106.487129115244,9.74433659656927
"Dairy cattle",2005,4236.394,10,6.65715857,5.991442713,75.86783113,76.533546987,305.9877311,302.584174609477,565.26748671,566.000682843892,509.400614559503,56.6000682843892,503.73446003191,62.2662228119823,5.66615452759311
"Non-dairy cattle",2005,8800.4149999,10,6.52168866,5.869519794,74.2325664,74.884735266,106.6389675,105.435226118029,402.1356355,401.427242342856,361.28451810857,40.1427242342857,357.206336039594,44.2209063032618,4.0781820689761
"Cattle",2006,12750.2460003,10,6.5560677453156,5.90046097078404,74.7258279090678,75.3814346835994,172.092172844326,170.170945012061,946.84915555,946.888327583974,852.199494825576,94.6888327583976,842.686316934359,104.202010649614,9.51317789121674
"Dairy cattle",2006,4081.794,10,6.61851345,5.956662105,75.87833198,76.540183325,309.0982971,305.680606197969,546.97405123,547.691305875925,492.922175288333,54.7691305875926,487.47194909913,60.2193567767952,5.45022618920257
"Non-dairy cattle",2006,8668.4520003,10,6.52666336,5.873997024,74.18313768,74.835804016,107.5788346,106.362260145198,399.87510432,399.197021708048,359.277319537243,39.9197021708049,355.214367835229,43.9826538728191,4.06295170201417
"Cattle",2007,12688.1889997,10,6.53988735614885,5.88589862053397,74.6988444912822,75.3528332268971,174.128341139435,172.191542616051,949.63244458,949.623064648512,854.660758183661,94.9623064648512,845.155072161863,104.467992486649,9.50568602179771
"Dairy cattle",2007,4071.199,10,6.57530007,5.917770063,75.89565684,76.553186847,312.8411541,309.405636117813,548.60861124,549.274558148625,494.347102333763,54.9274558148625,488.918346119142,60.356212029484,5.4287562146215
"Non-dairy cattle",2007,8616.9899997,10,6.5231562,5.87084058,74.13339632,74.78571194,108.5918295,107.363118738372,401.02383334,400.348506499887,360.313655849898,40.0348506499886,356.236726042722,44.1117804571649,4.07692980717627
"Cattle",2008,12971.4690002,10,6.54193606705626,5.88774246035063,74.7094631628788,75.3636567695845,172.064537850549,170.147553617901,960.25223856,960.34048500431,864.306436503879,96.0340485004309,854.677738535624,105.662746468686,9.62869796825487
"Dairy cattle",2008,4217.711,10,6.59033392,5.931300528,75.79259941,76.451632802,306.8215346,303.437175804371,558.57957456,559.368198402889,503.4313785626,55.9368198402888,497.878338042627,61.4898603602615,5.55304051997274
"Non-dairy cattle",2008,8753.7580002,10,6.51861715,5.866755435,74.18758951,74.839451225,107.1363016,105.926323642287,401.672664,400.972286601421,360.875057941279,40.0972286601422,356.799400492997,44.1728861084243,4.07565744828207
"Cattle",2009,12947.0150001,10,6.52355873260344,5.8712028593431,74.6918814223225,75.3442372955829,173.442632012649,171.519165967965,961.56214285,961.734061455883,865.560655310295,96.173406145588,855.961934386698,105.772127069185,9.59872092359706
"Dairy cattle",2009,4205.493,10,6.54005136,5.886046224,75.82604093,76.480046066,310.5019635,307.105212036323,559.27264464,560.131659014422,504.11849311298,56.0131659014421,498.603664124311,61.5279948901106,5.51482898866851
"Non-dairy cattle",2009,8741.5220001,10,6.51562423,5.864061807,74.14624419,74.797806613,107.5042223,106.289544898358,402.28949821,401.602402441461,361.442162197315,40.160240244146,357.358270262386,44.2441321790744,4.08389193492843
"Cattle",2010,12811.8549997,10,6.50217382420307,5.85195644178276,74.678022412364,75.3282397947843,175.646360312317,173.707815699901,958.89219742,959.044404924039,863.139964431635,95.9044404924039,853.613560924906,105.430843999133,9.52640350672959
"Dairy cattle",2010,4183.111,10,6.49054974,5.841494766,75.83710722,76.486162194,315.0021394,311.58271841007,560.11701891,560.947311006894,504.852579906204,56.0947311006893,499.372288528374,61.5750224785193,5.48029137782999
"Non-dairy cattle",2010,8628.7439997,10,6.50780904,5.857028136,74.11611208,74.766892984,108.0883597,106.86772609116,398.77517851,398.097093917146,358.287384525431,39.8097093917145,354.241272396532,43.8558215206141,4.04611212889961
"Cattle",2011,12530.5190002,10,6.48290008583919,5.83461007725527,74.7046124715586,75.3529024801425,178.039598011351,176.083850414573,946.74701985,946.759261848213,852.083335663392,94.6759261848213,842.722556296349,104.036705551864,9.36077936704248
"Dairy cattle",2011,4190.103,10,6.45109531,5.805985779,75.83065975,76.475769281,318.1412808,314.708054539496,563.3478637,564.034771447785,507.631294303007,56.4034771447785,502.153183804828,61.8815876429575,5.47811049817903
"Non-dairy cattle",2011,8340.4160002,10,6.49887834,5.848990506,74.13890279,74.788790624,107.6545619,106.441077972225,383.39915615,382.724490400428,344.452041360385,38.2724490400429,340.569372491522,42.1551179089063,3.88266886886339
"Cattle",2012,12509.6040003,10,6.46828734156236,5.82145860740612,74.7040580563147,75.350886790471,178.786166222931,176.828187645313,946.11765108,946.064912149715,851.458420934744,94.6064912149716,842.132506662806,103.932405486909,9.32591427193745
"Dairy cattle",2012,4190.485,10,6.42073324,5.778659916,75.8059017,76.447975024,320.1503502,316.709711203916,564.35407694,564.976773664364,508.479096297927,56.4976773664364,503.014498160449,61.9622755039148,5.46459813747845
"Non-dairy cattle",2012,8319.1190003,10,6.49224117,5.843017053,74.14904024,74.798264357,107.5785669,106.36743017468,381.76357414,381.088138485352,342.979324636816,38.1088138485351,339.118008502357,41.9701299829942,3.86131613445906
"Cattle",2013,12685.9929998,10,6.45965815339999,5.81369233805999,74.6680642134899,75.3140300288299,179.086976762174,177.127184914256,959.39989272,959.384326250532,863.445893625478,95.9384326250532,853.995647508103,105.388678742429,9.45024611737551
"Dairy cattle",2013,4267.611,10,6.40621542,5.765593878,75.75207647,76.392698012,319.7564744,316.323848559729,572.70714586,573.367941735228,516.031147561705,57.3367941735229,510.491488498261,62.8764532369674,5.5396590634445
"Non-dairy cattle",2013,8418.3819998,10,6.48675039,5.838075351,74.1185355,74.767210539,107.7760413,106.562887291407,386.69274686,386.016384515304,347.414746063773,38.6016384515303,343.504159009842,42.5122255054613,3.91058705393101
"Cattle",2014,12742.1939996,10,6.44417881882994,5.79976093694694,74.6411032432495,75.2855211251325,180.517341977128,178.548872537162,967.62508987,967.546182703241,870.791564432917,96.754618270324,861.293731167874,106.252451535367,9.49783326504303
"Dairy cattle",2014,4295.68,10,6.36767855,5.730910695,75.74680081,76.383568665,323.8369691,320.380814426223,580.38331944,580.988017133292,522.889215419963,58.0988017133293,517.308672806921,63.6793443263716,5.58054261304233
"Non-dairy cattle",2014,8446.5139996,10,6.48308489,5.834776401,74.07877387,74.727082359,107.628662,106.416791046164,387.24177043,386.558165569948,347.902349012953,38.6558165569948,343.985058360953,42.5731072089955,3.9172906520007
"Cattle",2015,12635.4560004,10,6.44620028376051,5.80158025538446,74.6305141081909,75.2751341365669,181.848411718602,179.86563537448,966.3970801,966.335644028877,869.702079625989,96.6335644028876,860.216785316806,106.118858712071,9.48529430918302
"Dairy cattle",2015,4284.639,10,6.36199722,5.725797498,75.75306216,76.389261882,325.4080832,321.93868071883,581.18053507,581.786640037377,523.607976033639,58.1786640037376,518.025426290721,63.7612137466559,5.58254974291833
"Non-dairy cattle",2015,8350.8170004,10,6.48940321,5.840462889,74.05455691,74.703497231,108.1907843,106.970766417106,385.21654503,384.5490039915,346.09410359235,38.45490039915,342.191359026085,42.3576449654147,3.90274456626469
"Cattle",2016,12466.5869997,10,6.43668098260619,5.79301288434558,74.6529428274615,75.2966109257221,182.864408428373,180.87641191908,956.63380721,956.63833071663,860.974497644967,95.663833071663,851.611499953069,105.026830763561,9.36299769189759
"Dairy cattle",2016,4217.7,10,6.3419739,5.70777651,75.80310835,76.43730574,328.9860418,325.493089628403,576.50757268,577.172066018293,519.454859416464,57.7172066018294,513.939637648033,63.2324283702603,5.51522176843093
"Non-dairy cattle",2016,8248.8869997,10,6.48510522,5.836594698,74.06485705,74.713367572,108.1516365,106.933131862414,380.12623453,379.466264698337,341.519638228503,37.9466264698336,337.671862305036,41.7944023933003,3.84777592346671
"Cattle",2017,12281.1940003,10,6.43569837648834,5.79212853883951,74.6524229084626,75.2959927461115,183.992412515115,181.992114071941,948.16368678,948.114399824904,853.302959842414,94.8114399824904,844.023251591684,104.091148233221,9.27970825073055
