"culture","conc_µg_ml","day","OD600"
"Aza3","DMSO -",13,0.031
"Aza3","100",13,0.017
"Aza3","250",13,0.025
"Aza3","500",13,0.019
"Aza3","750",13,0.022
"Aza3","1000",13,0.032
"Aza3","+",14,0.088
"Aza3","DMSO +",14,0.051
"Aza3","DMSO -",14,0.032
"Aza3","100",14,0.021
"Aza3","250",14,0.027
"Aza3","500",14,0.025
"Aza3","750",14,0.026
"Aza3","1000",14,0.026
"Aza3","+",15,0.08
"Aza3","DMSO +",15,0.069
"Aza3","DMSO -",15,0.043
"Aza3","100",15,0.042
"Aza3","250",15,0.039
"Aza3","500",15,0.042
"Aza3","750",15,0.039
"Aza3","1000",15,0.045
"Aza3","+",16,0.063
"Aza3","DMSO +",16,0.062
"Aza3","DMSO -",16,0.036
"Aza3","100",16,0.027
"Aza3","250",16,0.035
"Aza3","500",16,0.029
"Aza3","750",16,0.03
"Aza3","1000",16,0.029
"Aza3","+",19,-0.025
"Aza3","DMSO +",19,0.023
"Aza3","DMSO -",19,-0.035
"Aza3","100",19,-0.049
"Aza3","250",19,-0.039
"Aza3","500",19,-0.044
"Aza3","750",19,-0.044
"Aza3","1000",19,-0.044
