culture,conc_µg_ml,day,OD600,OD600_adj,OD600_adj_lg
Aza3,250,14,0.027,0.027,-1.56863623584101
Aza3,500,14,0.025,0.025,-1.60205999132796
Aza3,750,14,0.026,0.026,-1.58502665202918
Aza3,1000,14,0.026,0.026,-1.58502665202918
Aza3,+,15,0.08,0.08,-1.09691001300806
Aza3,DMSO +,15,0.069,0.069,-1.16115090926274
Aza3,DMSO -,15,0.043,0.043,-1.36653154442041
Aza3,100,15,0.042,0.042,-1.3767507096021
Aza3,250,15,0.039,0.039,-1.4089353929735
Aza3,500,15,0.042,0.042,-1.3767507096021
Aza3,750,15,0.039,0.039,-1.4089353929735
Aza3,1000,15,0.045,0.045,-1.34678748622466
Aza3,+,16,0.063,0.063,-1.20065945054642
Aza3,DMSO +,16,0.062,0.062,-1.20760831050175
Aza3,DMSO -,16,0.036,0.036,-1.44369749923271
Aza3,100,16,0.027,0.027,-1.56863623584101
Aza3,250,16,0.035,0.035,-1.45593195564972
Aza3,500,16,0.029,0.029,-1.53760200210104
Aza3,750,16,0.03,0.03,-1.52287874528034
Aza3,1000,16,0.029,0.029,-1.53760200210104
