culture,conc_µg_ml,day,OD600,OD600_adj,OD600_adj_lg
Aza3,100,4,0.031,0.031,-1.50863830616573
Aza3,250,4,0.035,0.035,-1.45593195564972
Aza3,500,4,0.038,0.038,-1.42021640338319
Aza3,750,4,0.03,0.03,-1.52287874528034
Aza3,1000,4,0.04,0.04,-1.39794000867204
Aza3,+,7,0.266,0.266,-0.575118363368933
Aza3,DMSO +,7,0.314,0.314,-0.503070351926785
Aza3,100,7,0.022,0.022,-1.65757731917779
Aza3,250,7,0.023,0.023,-1.63827216398241
Aza3,500,7,0.029,0.029,-1.53760200210104
Aza3,750,7,0.075,0.075,-1.1249387366083
Aza3,1000,7,0.051,0.051,-1.29242982390206
Aza3,+,8,0.243,0.243,-0.614393726401688
Aza3,DMSO +,8,0.291,0.291,-0.536107011014093
Aza3,100,8,0.032,0.032,-1.49485002168009
Aza3,250,8,0.044,0.044,-1.35654732351381
Aza3,500,8,0.05,0.05,-1.30102999566398
Aza3,750,8,0.114,0.114,-0.943095148663527
Aza3,1000,8,0.052,0.052,-1.2839966563652
Aza3,+,9,0.267,0.267,-0.573488738635425
Aza3,DMSO +,9,0.275,0.275,-0.560667306169737
Aza3,100,9,0.108,0.108,-0.96657624451305
Aza3,250,9,0.048,0.048,-1.31875876262441
Aza3,500,9,0.056,0.056,-1.2518119729938
Aza3,750,9,0.113,0.113,-0.94692155651658
Aza3,1000,9,0.046,0.046,-1.33724216831843
Aza3,+,10,0.264,0.264,-0.578396073130169
Aza3,DMSO +,10,0.257,0.257,-0.590066876668705
Aza3,100,10,0.442,0.442,-0.354577730650908
Aza3,250,10,0.042,0.042,-1.3767507096021
Aza3,500,10,0.053,0.053,-1.27572413039921
Aza3,750,10,0.103,0.103,-0.987162775294828
Aza3,1000,10,0.04,0.04,-1.39794000867204
Aza3,+,11,0.262,0.262,-0.581698708680255
Aza3,DMSO +,11,0.249,0.249,-0.603800652904264
Aza3,100,11,0.476,0.476,-0.322393047279507
Aza3,250,11,0.044,0.044,-1.35654732351381
Aza3,500,11,0.053,0.053,-1.27572413039921
Aza3,750,11,0.097,0.097,-1.01322826573376
Aza3,1000,11,0.045,0.045,-1.34678748622466
Aza3,+,14,0.233,0.233,-0.632644078973981
Aza3,DMSO +,14,0.268,0.268,-0.571865205971211
Aza3,100,14,0.396,0.396,-0.402304814074488
Aza3,250,14,0.514,0.514,-0.289036881004724
Aza3,500,14,0.047,0.047,-1.32790214206428
Aza3,750,14,0.084,0.084,-1.07572071393812
Aza3,1000,14,0.044,0.044,-1.35654732351381
Aza3,+,15,0.245,0.245,-0.610833915635468
Aza3,DMSO +,15,0.262,0.262,-0.581698708680255
Aza3,100,15,0.394,0.394,-0.404503778174426
Aza3,250,15,0.48,0.48,-0.318758762624413
Aza3,500,15,0.054,0.054,-1.26760624017703
Aza3,750,15,0.093,0.093,-1.03151705144607
Aza3,1000,15,0.043,0.043,-1.36653154442041
